bath,bed,price,size,street,where
1.0,1.0,4175,725.0,20 River Terrace #8D,Battery Park City
1.0,1.0,1850,700.0,131 Lincoln Road #3C,Prospect Lefferts Gardens
1.0,1.0,4755,686.0,170 Amsterdam Avenue #11G,Lincoln Square
1.0,2.0,2850,850.0,229 West 109th Street #54,Manhattan Valley
1.0,3.0,2795,1200.0,248 19th Street #1,Park Slope
1.0,1.0,3750,713.0,210 East 68th Street #7H,Lenox Hill
1.0,1.0,2850,680.0,41-17 Crescent Street #7H,Long Island City
1.0,2.0,2300,950.0,308 Lewis Avenue #3,Bedford-Stuyvesant
2.0,2.5,3200,1050.0,13 Wolcott #3,Red Hook
1.0,1.0,4085,609.0,88 Leonard Street #2005,Tribeca
1.0,1.0,2099,600.0,243 West 63rd Street #1D,Lincoln Square
2.0,2.0,5695,1086.0,99 Battery Place #10C,Battery Park City
2.0,2.0,10000,1640.0,181 Hudson Street #5A,Tribeca
1.0,1.0,3400,700.0,176 West 86th Street #4A,Upper West Side
2.0,2.0,7350,1158.0,300 North End Avenue #5F,Battery Park City
1.5,1.0,3250,1000.0,330 Plymouth #1,Vinegar Hill
1.0,3.0,2000,950.0,2519 Snyder Avenue #2,Flatbush
2.0,1.0,6800,1200.0,395 Broadway #4D,Tribeca
1.0,1.0,3100,761.0,41-17 Crescent Street #6G,Long Island City
1.0,1.0,1315,625.0,1995 Sedgwick Avenue #1A,University Heights
2.0,1.0,6800,1200.0,395 Broadway #4D,Tribeca
1.0,1.0,1800,810.0,55 Winthrop Street #3B,Prospect Lefferts Gardens
1.0,1.0,2550,750.0,640 Humboldt Street #2L,Greenpoint
1.0,1.0,3600,805.0,229 West 60th Street #3R,Lincoln Square
5.0,2.0,5750,1295.0,525 East 72nd Street #5I,Upper East Side
1.0,1.0,4480,652.0,261 West 25th Street #2C,Chelsea
1.0,2.0,2200,700.0,13 Wolcott #2,Red Hook
2.0,2.0,3150,1100.0,350 Lincoln Place #4P,Prospect Heights
1.0,1.0,3100,849.0,43 Avenue C #4,East Village
1.0,2.0,2707,810.0,283 Devoe Street #3R,East Williamsburg
2.0,3.0,13250,2600.0,853 7th Avenue #PHA,Midtown
1.0,1.0,5600,811.0,200 North End Avenue #27E,Battery Park City
1.0,1.0,4500,781.0,300 North End Avenue #3J,Battery Park City
2.0,2.0,8500,1264.0,200 North End Avenue #19D,Battery Park City
1.0,1.0,4900,804.0,200 North End Avenue #8K,Battery Park City
1.0,1.0,2300,500.0,46 Allen #3D,Lower East Side
1.0,1.0,3250,750.0,162 West 56th Street #706,Midtown
2.0,2.0,2900,1550.0,88 Lexington #1L,Bedford-Stuyvesant
2.0,2.0,4350,1400.0,225 Sterling Place #2H,Prospect Heights
1.0,2.0,2550,850.0,322 2nd Street #2,Park Slope
1.0,2.0,4095,1100.0,330 Pearl Street #3A,Fulton/Seaport
2.0,2.0,12500,1865.0,260 West Broadway #6D,Tribeca
1.0,1.0,3495,571.0,155 East 29th Street #24E,Kips Bay
1.5,3.0,4100,1200.0,471 MacDonough Street #1,Stuyvesant Heights
1.0,1.0,3470,625.0,200 Atlantic Avenue #3B,Cobble Hill
1.5,1.0,3300,800.0,254 West 51st Street #17C,Midtown
2.0,3.0,2700,920.0,87 Granite Street #3,Bushwick
2.0,2.0,2500,900.0,87 Granite Street #1,Bushwick
2.0,3.0,2600,920.0,87 Granite Street #2,Bushwick
2.0,2.0,4950,970.0,335 Carroll Street #3C,Carroll Gardens
1.0,1.0,5195,750.0,450 West 17th Street #721,West Chelsea
2.0,2.0,2100,900.0,141-29 Pershing Crescent #4,Briarwood
1.0,1.0,2800,750.0,609 Saint Johns Place #2A,Crown Heights
1.0,2.0,2199,900.0,413 Himrod Street #2R,Bushwick
1.0,2.0,2100,700.0,13 Wolcott #1,Red Hook
1.0,1.0,2700,750.0,448 8th Street #1,Park Slope
1.0,3.5,2500,1000.0,42-19 78th Street #2,Elmhurst
2.0,2.0,6995,1067.0,60 Riverside Boulevard #910,Lincoln Square
2.0,2.0,4199,1506.0,95 Dupont Street #PH4,Greenpoint
1.0,1.0,2691,726.0,111 Lawrence Street #7A,Downtown Brooklyn
1.0,1.0,3315,626.0,240 East 27th Street #4N,Kips Bay
2.0,3.5,3300,2500.0,41-30 47th Street #2,Sunnyside
1.0,1.0,3405,536.0,228 West 71st Street #9K,Lincoln Square
1.0,1.0,3738,625.0,60 Water Street #324,DUMBO
2.0,1.0,4000,1027.0,40 North 4th Street #2G,Williamsburg
1.0,2.0,1600,750.0,652 East 4th Street #3,Kensington
3.0,2.0,7500,1394.0,421 Hudson Street #812,West Village
2.5,4.0,4200,2500.0,30-25 37th Street #2,Astoria
1.0,2.0,3150,1000.0,2149 Frederick Douglass Boulevard #3C,Central Harlem
1.0,1.0,1900,800.0,523 Fifth Avenue #2,Park Slope
1.0,1.0,2300,700.0,41-19 30th Avenue #2F,Astoria
1.0,1.0,1800,700.0,28-19 42nd Street #3A,Astoria
1.0,1.0,2900,850.0,98 Franklin #3,Greenpoint
1.0,2.0,1895,950.0,94-10 60th Avenue #2K,Elmhurst
1.0,1.0,2520,445.0,571 3rd Avenue #4,Murray Hill
1.0,1.0,1750,800.0,3074 32nd Street #4,Astoria
1.0,1.0,1750,800.0,3074 32nd Street #4,Astoria
1.0,1.0,1620,850.0,92-16 Whitney Avenue #409,Elmhurst
1.0,2.0,2150,975.0,19-38 79th Street #1A,Astoria
1.0,2.0,2500,850.0,669 East 5th Street #14,Kensington
1.0,2.0,2000,550.0,1421 53rd Street #C4,Borough Park
1.0,2.0,2700,1000.0,669 East 5th Street #28,Kensington
1.0,1.0,4705,668.0,55 West 26th Street #18M,Chelsea
1.0,1.0,1750,750.0,27-10 23rd Street #2,Astoria
1.0,2.0,4500,887.0,20 Clinton Street #2F,Lower East Side
3.0,3.0,10500,1685.0,235 East 55th Street #43AB,Midtown East
1.0,1.0,5500,995.0,240 Central Park South #4Q,Central Park South
1.0,2.0,2300,950.0,25-30 48th #2B,Woodside
1.0,1.0,1700,800.0,96-10 37th #2B,North Corona
1.0,1.0,2950,690.0,25-19 35th Street ,Astoria
2.0,3.0,5500,1100.0,397 16th Street #3,Park Slope
2.0,2.0,5650,1234.0,2 Northside Piers #10H,Williamsburg
1.0,1.0,1700,700.0,1545 Pacific Street #2,Crown Heights
1.0,1.0,1700,700.0,1545 Pacific Street #2,Crown Heights
1.0,1.0,3800,692.0,555 West 23rd Street #N10M,West Chelsea
1.0,2.0,2150,800.0,21 Magaw Place #4F,Hudson Heights
1.0,1.0,2000,850.0,32-55 48th #2,Long Island City
1.0,2.0,1500,650.0,119-19 Jamaica Avenue #2ND,East New York
1.0,1.0,2900,740.0,108-20 71st Avenue #16A,Forest Hills
2.0,3.0,3400,1400.0,66-33 Wetherole Street ,Rego Park
1.0,1.0,3852,632.0,60 Water Street #516,DUMBO
1.0,2.0,3600,762.0,5-11 47th Avenue #11F,Hunters Point
3.5,3.0,13500,2442.0,216 East 47th Street #2A,Turtle Bay
3.0,3.0,5395,1350.0,130 East 24th Street #4D,Flatiron
1.0,1.0,2450,600.0,1384 Lexington #3E,Carnegie Hill
